CDSSYS,CDS_SUPP_QUOTES,,EN
ID,SUPPLIER_NAME,SUPPLIER_CONTACT,PART_NO,ENQUIRY_QTY_1,ENQUIRY_QTY_2,ENQUIRY_QTY_3,ENQUIRY_QTY_4,DATE_RAISED,PART_DESC,CURRENT_PART_ISSUE,PUR_QTY_1,PUR_COST_1,PUR_LT_1,PUR_QTY_2,PUR_COST_2,PUR_LT_2,PUR_QTY_3,PUR_COST_3,PUR_LT_3,PUR_QTY_4,PUR_COST_4,PUR_LT_4,PUR_FAI_COST,PUR_FAI_LT,PUR_TOOL_COST,PUR_TOOL_LT,ECR_LT,SC_LT,COMMENTS
7875,PATTONAIR,,85100024,1,50,100,500,2015-09-15,SHIM                  PUR,C  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7876,PATTONAIR,,AS21032,1,10,20,100,2015-09-15,BOLT                     ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7877,PATTONAIR,,KDC2014,25,0,0,125,2015-09-15,PLUG                     ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7878,PATTONAIR,,GTS117-1            ,3,15,0,75,2015-09-15,WIRE INSERT              ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7879,PATTONAIR,,77690338,1,10,20,0,2015-09-15,SILVER STEEL DOWEL       ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7880,PATTONAIR,,77872265,1,0,0,5,2015-09-15,HIGH WATTAGE LEE JET     ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7881,PATTONAIR,,77872550,1,0,0,5,2015-09-15,LEE JET                  ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7882,PATTONAIR,,77032699,100,0,0,500,2015-09-15,BOLT ASSEMBLY            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7883,PATTONAIR,,77736152,1,5,10,50,2015-09-15,SLEEVING TYGADURE        ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7884,TEKDATA INTERCONNECTIONS LTD,,86623944,1,5,10,50,2015-09-15,CONN & HEADER ASSY (H2)  ,   ,10,393.23,22,50,393.23,22,0,0,0,0,0,0,0,0,0,0,0,0,10 = MOQ
7885,TE CONNECTIVITY,,48-402-0002,1,5,10,0,2015-09-16,RESISTOR PAIR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7886,G & D Vickers,,GTS35-19,1,5,10,50,2015-09-16,CIRCLIP                  ,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7887,ARROW ELECTRONICS (UK) LTD,,GTS1714-275M,1,5,10,50,2015-09-16,CAPACITOR                ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cvbn
7888,PATTONAIR,,17110-179,1,100,200,1000,2015-09-16,WASHER                   ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7889,TAXRALE ELECTRICS LTD,,85201207,11,0,0,0,2015-09-17,TORQUE MOTOR ASSEMBLY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7890,TRELLEBOR SEALING SOLUTIONS   ,,GTS212-11,1,25,50,0,2015-09-21,BONDED SEAL              ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7891,TRELLEBOR SEALING SOLUTIONS   ,,0216-4010,1,10,20,0,2015-09-21,SEAT & SEAL BONDED ASSY  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7892,TRELLEBOR SEALING SOLUTIONS   ,,0216-4048,1,10,20,0,2015-09-21,"RING,SEALING,TOROIDAL    ",1,5,60,14,10,30,14,25,24.03,14,0,0,0,0,0,0,0,0,0,5 = MOQ
